,ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
744,KiddJa01  ,1995,Jason,Kidd,west,N,1,22,7.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
745,KiddJa01  ,2003,Jason,Kidd,east,N,1,22,14.0,3.0,0.0,3.0,10.0,2.0,0.0,3.0,1.0,6.0,4.0,4.0,3.0,4.0,3.0
746,KiddJa01  ,2002,Jason,Kidd,east,N,1,33,11.0,4.0,1.0,5.0,10.0,5.0,0.0,2.0,0.0,9.0,4.0,2.0,2.0,4.0,1.0
747,KiddJa01  ,2001,Jason,Kidd,east,N,1,18,2.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
748,KiddJa01  ,2000,Jason,Kidd,west,N,1,30,11.0,4.0,0.0,4.0,2.0,5.0,0.0,5.0,3.0,6.0,4.0,0.0,0.0,4.0,3.0
749,KiddJa01  ,1999,Jason,Kidd,west,N,1,34,11.0,5.0,0.0,5.0,14.0,4.0,0.0,6.0,0.0,9.0,4.0,0.0,0.0,6.0,3.0
750,KiddJa01  ,1997,Jason,Kidd,west,N,1,19,0.0,1.0,0.0,1.0,9.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
751,KingBe01  ,1984,Bernard,King,east,N,1,22,13.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,1.0,0.0,0.0
752,KingBe01  ,1983,Bernard,King,east,N,1,22,18.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,13.0,8.0,5.0,2.0,0.0,0.0
753,KingBe01  ,1990,Bernard,King,east,N,1,26,8.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,4.0,0.0,0.0
754,KingJi01  ,1967,Jim,King,west,N,1,7,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,0.0
